Eppler 387
 1.000000  0.000000
 0.999600  0.000180
 0.998430  0.000730
 0.996480  0.001630
 0.993740  0.002870
 0.990200  0.004450
 0.985860  0.006360
 0.980740  0.008590
 0.974830  0.011120
 0.968140  0.013920
 0.960680  0.016980
 0.952450  0.020280
 0.943440  0.023800
 0.933660  0.027530
 0.923120  0.031440
 0.911800  0.035540
 0.899730  0.039800
 0.886910  0.044230
 0.873340  0.048800
 0.859030  0.053510
 0.843990  0.058340
 0.828210  0.063290
 0.811720  0.068340
 0.794520  0.073480
 0.776630  0.078690
 0.758060  0.083970
 0.738830  0.089290
 0.718960  0.094630
 0.698460  0.099980
 0.677350  0.105310
 0.655670  0.110620
 0.633420  0.115860
 0.610640  0.121020
 0.587350  0.126080
 0.563580  0.131010
 0.539350  0.135780
 0.514700  0.140350
 0.489650  0.144700
 0.464240  0.148780
 0.438510  0.152540
 0.412500  0.155940
 0.386260  0.158910
 0.359830  0.161400
 0.333250  0.163350
 0.306560  0.164690
 0.279820  0.165310
 0.253100  0.165130
 0.226450  0.164070
 0.199950  0.161980
 0.173660  0.158730
 0.147700  0.154140
 0.122190  0.148010
 0.097270  0.140110
 0.073140  0.130180
 0.050070  0.117900
 0.028400  0.102710
 0.008920  0.083160
 0.000000  0.000000
 0.008700 -0.063460
 0.027870 -0.076320
 0.049440 -0.082710
 0.072550 -0.086390
 0.096810 -0.088330
 0.121900 -0.088920
 0.147600 -0.088370
 0.173710 -0.086810
 0.200110 -0.084340
 0.226730 -0.081100
 0.253480 -0.077200
 0.280310 -0.072780
 0.307160 -0.067950
 0.333960 -0.062820
 0.360670 -0.057500
 0.387220 -0.052070
 0.413590 -0.046630
 0.439730 -0.041260
 0.465590 -0.036030
 0.491140 -0.031010
 0.516350 -0.026260
 0.541170 -0.021820
 0.565570 -0.017730
 0.589520 -0.014020
 0.612990 -0.010720
 0.635950 -0.007820
 0.658370 -0.005330
 0.680210 -0.003250
 0.701470 -0.001550
 0.722110 -0.000210
 0.742110  0.000810
 0.761470  0.001530
 0.780180  0.001990
 0.798480  0.002220
 0.816480  0.002270
 0.834110  0.002180
 0.851080  0.001990
 0.867210  0.001730
 0.882410  0.001430
 0.896620  0.001110
 0.909810  0.000810
 0.921970  0.000550
 0.933090  0.000340
 0.943180  0.000180
 0.952240  0.000070
 0.960290  0.000010
 0.967350 -0.000020
 0.973460 -0.000020
 0.978660 -0.000010
 0.983010  0.000000
 0.986560  0.000010
 0.989400  0.000020
 0.991610  0.000030
 0.993270  0.000030
 0.994480  0.000030
 0.995320  0.000030
 0.995900  0.000030
 0.996360  0.000000
